,path,ID,mask_state,age,gender,label
0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,1,Wear,45,female,4
1,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,1,Not Wear,45,female,16
2,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,Incorrect,45,female,10
3,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,1,Wear,45,female,4
4,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,1,Wear,45,female,4
5,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,1,Wear,45,female,4
6,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,1,Wear,45,female,4
7,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,2,Wear,52,female,4
8,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,2,Not Wear,52,female,16
9,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,2,Incorrect,52,female,10
10,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,2,Wear,52,female,4
11,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,2,Wear,52,female,4
12,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,2,Wear,52,female,4
13,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,2,Wear,52,female,4
14,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,4,Wear,54,male,1
15,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,4,Not Wear,54,male,13
16,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,4,Incorrect,54,male,7
17,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,4,Wear,54,male,1
18,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,4,Wear,54,male,1
19,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,4,Wear,54,male,1
20,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,4,Wear,54,male,1
21,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,5,Wear,58,female,5
22,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,5,Not Wear,58,female,17
23,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,5,Incorrect,58,female,11
24,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,5,Wear,58,female,5
25,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,5,Wear,58,female,5
26,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,5,Wear,58,female,5
27,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,5,Wear,58,female,5
28,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,6,Wear,59,female,5
29,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,6,Not Wear,59,female,17
30,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,6,Incorrect,59,female,11
31,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,6,Wear,59,female,5
32,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,6,Wear,59,female,5
33,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,6,Wear,59,female,5
34,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,6,Wear,59,female,5
35,/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,7,Wear,58,female,5
36,/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,7,Not Wear,58,female,17
37,/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,7,Incorrect,58,female,11
38,/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,7,Wear,58,female,5
39,/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,7,Wear,58,female,5
40,/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,7,Wear,58,female,5
41,/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,7,Wear,58,female,5
42,/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,8,Wear,58,female,5
43,/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,8,Not Wear,58,female,17
44,/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,8,Incorrect,58,female,11
45,/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,8,Wear,58,female,5
46,/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,8,Wear,58,female,5
47,/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,8,Wear,58,female,5
48,/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,8,Wear,58,female,5
49,/opt/ml/input/data/train/images/000009_female_Asian_56/mask1.jpg,9,Wear,56,female,4
50,/opt/ml/input/data/train/images/000009_female_Asian_56/normal.jpg,9,Not Wear,56,female,16
51,/opt/ml/input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,9,Incorrect,56,female,10
52,/opt/ml/input/data/train/images/000009_female_Asian_56/mask2.jpg,9,Wear,56,female,4
53,/opt/ml/input/data/train/images/000009_female_Asian_56/mask4.jpg,9,Wear,56,female,4
54,/opt/ml/input/data/train/images/000009_female_Asian_56/mask5.jpg,9,Wear,56,female,4
55,/opt/ml/input/data/train/images/000009_female_Asian_56/mask3.jpg,9,Wear,56,female,4
56,/opt/ml/input/data/train/images/000010_female_Asian_58/mask1.jpg,10,Wear,58,female,5
57,/opt/ml/input/data/train/images/000010_female_Asian_58/normal.jpg,10,Not Wear,58,female,17
58,/opt/ml/input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,10,Incorrect,58,female,11
59,/opt/ml/input/data/train/images/000010_female_Asian_58/mask2.jpg,10,Wear,58,female,5
60,/opt/ml/input/data/train/images/000010_female_Asian_58/mask4.jpg,10,Wear,58,female,5
61,/opt/ml/input/data/train/images/000010_female_Asian_58/mask5.jpg,10,Wear,58,female,5
62,/opt/ml/input/data/train/images/000010_female_Asian_58/mask3.jpg,10,Wear,58,female,5
63,/opt/ml/input/data/train/images/000012_male_Asian_57/mask1.jpg,12,Wear,57,male,2
64,/opt/ml/input/data/train/images/000012_male_Asian_57/normal.jpg,12,Not Wear,57,male,14
65,/opt/ml/input/data/train/images/000012_male_Asian_57/incorrect_mask.jpg,12,Incorrect,57,male,8
